Catégorie,Manifeste IIIF,OCR-relu,Contributeur,Source,Ville,Lieu d'exposition (section unique),Titre de l’exposition,Année début,Mois début,Jour début,Année fin,Mois fin,Jour fin,Pays d'aujourd'hui,(État d'aujourd'hui),,Pays d’époque,Ville d’époque,,adresse complète de la section telle que dans le catalogue,numéro de rue de la section,Rue de la section,étage de la section,lieu dit de la section,complément d’adresse de la section
1,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k6471651s/manifest.json,,,ark:/12148/bpt6k6471651s,Paris,Musée Royal des Art,"Explication des ouvrages de peinture et dessins, sculpture, architecture et gravure des artistes vivans...",1817,,,,,,,,,,,,,,,,,
1,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k98116257/manifest.json,,,ark:/12148/bpt6k98116257,Paris,Musée Royal des Art,"Explication des ouvrages de peinture et dessins, sculpture, architecture et gravure des artistes vivans...",1819,,,,,,,,,,,,,,,,,
1,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k9811566t/manifest.json,,,ark:/12148/bpt6k9811566t,Paris,Musée Royal des Art,"Explication des ouvrages de peinture et dessins, sculpture, architecture et gravure des artistes vivans...",1822,,,,,,,,,,,,,,,,,
1,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k98119347/manifest.json,,,ark:/12148/bpt6k98119347,Paris,Musée Royal des Art,"Explication des ouvrages de peinture et dessins, sculpture, architecture et gravure des artistes vivans...",1824,,,,,,,,,,,,,,,,,
1,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k5788980h/manifest.json,,,ark:/12148/bpt6k5788980h,Paris,Musée Royal des Art,"Explication des ouvrages de peinture et dessins, sculpture, architecture et gravure des artistes vivans...",1827,,,,,,,,,,,,,,,,,
1,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k9811766h/manifest.json,,,ark:/12148/bpt6k9811766h,Paris,Musée Royal des Art,"Explication des ouvrages de peinture et dessins, sculpture, architecture et gravure des artistes vivans...",1831,,,,,,,,,,,,,,,,,
1,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k5818378p/manifest.json,,,ark:/12148/bpt6k5818378p,Paris,Musée Royal des Art,"Explication des ouvrages de peinture et dessins, sculpture, architecture et gravure des artistes vivans...",1833,,,,,,,,,,,,,,,,,
1,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k62217355/manifest.json,,,ark:/12148/bpt6k62217355,Paris,Musée Royal des Art,"Explication des ouvrages de peinture et dessins, sculpture, architecture et gravure des artistes vivans...",1834,,,,,,,,,,,,,,,,,
1,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k6227672z/manifest.json,,,ark:/12148/bpt6k6227672z,Paris,Musée Royal des Art,"Explication des ouvrages de peinture et dessins, sculpture, architecture et gravure des artistes vivans...",1835,,,,,,,,,,,,,,,,,
1,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k62276756/manifest.json,,,ark:/12148/bpt6k62276756,Paris,Musée Royal des Art,"Explication des ouvrages de peinture et dessins, sculpture, architecture et gravure des artistes vivans...",1836,,,,,,,,,,,,,,,,,
1,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k5817656t/manifest.json,,,ark:/12148/bpt6k5817656t,Paris,Musée Royal des Art,"Explication des ouvrages de peinture et dessins, sculpture, architecture et gravure des artistes vivans...",1837,,,,,,,,,,,,,,,,,
1,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k5817572k/manifest.json,,,ark:/12148/bpt6k5817572k,Paris,Musée Royal des Art,"Explication des ouvrages de peinture et dessins, sculpture, architecture et gravure des artistes vivans...",1838,,,,,,,,,,,,,,,,,
1,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k5817543v/manifest.json,,,ark:/12148/bpt6k5817543v,Paris,Musée Royal des Art,"Explication des ouvrages de peinture et dessins, sculpture, architecture et gravure des artistes vivans...",1839,,,,,,,,,,,,,,,,,
1,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k5817356s/manifest.json,,,ark:/12148/bpt6k5817356s,Paris,Musée Royal des Art,"Explication des ouvrages de peinture et dessins, sculpture, architecture et gravure des artistes vivans...",1840,,,,,,,,,,,,,,,,,
1,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k6228806z/manifest.json,,,ark:/12148/bpt6k6228806z,Paris,Musée Royal des Art,"Explication des ouvrages de peinture et dessins, sculpture, architecture et gravure des artistes vivans...",1841,,,,,,,,,,,,,,,,,
1,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k6228807c/manifest.json,,,ark:/12148/bpt6k6228807c,Paris,Musée Royal des Art,"Explication des ouvrages de peinture et dessins, sculpture, architecture et gravure des artistes vivans...",1842,,,,,,,,,,,,,,,,,
1,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k5817526b/manifest.json,,,ark:/12148/bpt6k5817526b,Paris,Musée Royal des Art,"Explication des ouvrages de peinture et dessins, sculpture, architecture et gravure des artistes vivans...",1843,,,,,,,,,,,,,,,,,
1,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k58179348/manifest.json,,,ark:/12148/bpt6k58179348,Paris,Musée Royal des Art,"Explication des ouvrages de peinture et dessins, sculpture, architecture et gravure des artistes vivans...",1844,,,,,,,,,,,,,,,,,
1,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k5829097k/manifest.json,,,ark:/12148/bpt6k5829097k,Paris,Musée Royal des Art,"Explication des ouvrages de peinture et dessins, sculpture, architecture et gravure des artistes vivans...",1845,,,,,,,,,,,,,,,,,
1,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k5817969g/manifest.json,,,ark:/12148/bpt6k5817969g,Paris,Musée Royal des Art,"Explication des ouvrages de peinture et dessins, sculpture, architecture et gravure des artistes vivans...",1846,,,,,,,,,,,,,,,,,
1,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k58176258/manifest.json,,,ark:/12148/bpt6k58176258,Paris,Musée Royal des Art,"Explication des ouvrages de peinture et dessins, sculpture, architecture et gravure des artistes vivans...",1847,,,,,,,,,,,,,,,,,
1,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k9811748k/manifest.json,,,ark:/12148/bpt6k9811748k,Paris,Musée Royal des Art,"Explication des ouvrages de peinture et dessins, sculpture, architecture et gravure des artistes vivans...",1848,,,,,,,,,,,,,,,,,
1,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k5818237d/manifest.json,,,ark:/12148/bpt6k5818237d,Paris,Palais des Tuileries,"Explication des ouvrages de peinture et dessins, sculpture, architecture et gravure des artistes vivans...",1849,,,,,,,,,,,,,,,,,
1,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k3046733b/manifest.json,,,ark:/12148/bpt6k3046733b,Paris,Palais national,"Explication des ouvrages de peinture et dessins, sculpture, architecture et gravure des artistes vivans...",1850,,,,,,,,,,,,,,,,,
1,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k9811728t/manifest.json,,,ark:/12148/bpt6k9811728t,Paris,Palais Royal,"Explication des ouvrages de peinture et dessins, sculpture, architecture et gravure des artistes vivans...",1852,,,,,,,,,,,,,,,,,
1,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k9811573z/manifest.json,,,ark:/12148/bpt6k9811573z,Paris,Hôtel des Menus-Plaisirs,"Explication des ouvrages de peinture et dessins, sculpture, architecture et gravure des artistes vivans...",1853,,,,,,,,,,,,,,,,,
1,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k9812025g/manifest.json,,,ark:/12148/bpt6k9812025g,Paris,Palais des Beaux-Arts,"Explication des ouvrages de peinture et dessins, sculpture, architecture et gravure des artistes vivans...",1855,,,,,,,,,,,,,,,,,
1,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k98117512/manifest.json,,,ark:/12148/bpt6k98117512,Paris,Palais des Champs-Elysées,"Explication des ouvrages de peinture et dessins, sculpture, architecture et gravure des artistes vivans...",1857,,,,,,,,,,,,,,,,,
1,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k9811919j/manifest.json,,,ark:/12148/bpt6k9811919j,Paris,Palais des Champs-Elysées,"Explication des ouvrages de peinture et dessins, sculpture, architecture et gravure des artistes vivans...",1859,,,,,,,,,,,,,,,,,
1,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k15224606/manifest.json,,,ark:/12148/bpt6k15224606,Paris,Palais des Champs-Elysées,"Explication des ouvrages de peinture et dessins, sculpture, architecture et gravure des artistes vivans...",1861,,,,,,,,,,,,,,,,,
1,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k1182693z/manifest.json,,,ark:/12148/bpt6k1182693z,Paris,Palais des Champs-Elysées,"Explication des ouvrages de peinture et dessins, sculpture, architecture et gravure des artistes vivans...",1863,,,,,,,,,,,,,,,,,
1,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k49754t/manifest.json,,,ark:/12148/bpt6k49754t,Paris,Palais des Champs-Elysées,"Explication des ouvrages de peinture et dessins, sculpture, architecture et gravure des artistes vivans...",1864,,,,,,,,,,,,,,,,,
1,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k497555/manifest.json,,,ark:/12148/bpt6k497555,Paris,Palais des Champs-Elysées,"Explication des ouvrages de peinture et dessins, sculpture, architecture et gravure des artistes vivans...",1865,,,,,,,,,,,,,,,,,
1,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k49756h/manifest.json,,,ark:/12148/bpt6k49756h,Paris,Palais des Champs-Elysées,"Explication des ouvrages de peinture et dessins, sculpture, architecture et gravure des artistes vivans...",1866,,,,,,,,,,,,,,,,,
1,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k49757v/manifest.json,,,ark:/12148/bpt6k49757v,Paris,Palais des Champs-Elysées,"Explication des ouvrages de peinture et dessins, sculpture, architecture et gravure des artistes vivans...",1867,,,,,,,,,,,,,,,,,
1,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k497586/manifest.json,,,ark:/12148/bpt6k497586,Paris,Palais des Champs-Elysées,"Explication des ouvrages de peinture et dessins, sculpture, architecture et gravure des artistes vivans...",1868,,,,,,,,,,,,,,,,,
1,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k49759j/manifest.json,,,ark:/12148/bpt6k49759j,Paris,Palais des Champs-Elysées,"Explication des ouvrages de peinture et dessins, sculpture, architecture et gravure des artistes vivans...",1869,,,,,,,,,,,,,,,,,
1,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k49760r/manifest.json,,,ark:/12148/bpt6k49760r,Paris,Palais des Champs-Elysées,"Explication des ouvrages de peinture et dessins, sculpture, architecture et gravure des artistes vivans...",1870,,,,,,,,,,,,,,,,,
1,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k497613/manifest.json,,,ark:/12148/bpt6k497613,Paris,Palais des Champs-Elysées,"Explication des ouvrages de peinture et dessins, sculpture, architecture et gravure des artistes vivans...",1872,,,,,,,,,,,,,,,,,
1,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k49762f/manifest.json,,,ark:/12148/bpt6k49762f,Paris,Palais des Champs-Elysées,"Explication des ouvrages de peinture et dessins, sculpture, architecture et gravure des artistes vivans...",1873,,,,,,,,,,,,,,,,,
1,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k98116487/manifest.json,,,ark:/12148/bpt6k98116487,Paris,Palais des Champs-Elysées,"Explication des ouvrages de peinture et dessins, sculpture, architecture et gravure des artistes vivans...",1874,,,,,,,,,,,,,,,,,
1,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k9811761f/manifest.json,,,ark:/12148/bpt6k9811761f,Paris,Palais des Champs-Elysées,"Explication des ouvrages de peinture et dessins, sculpture, architecture et gravure des artistes vivans...",1875,,,,,,,,,,,,,,,,,
1,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k49766t/manifest.json,,,ark:/12148/bpt6k49766t,Paris,Palais des Champs-Elysées,"Explication des ouvrages de peinture et dessins, sculpture, architecture et gravure des artistes vivans...",1876,,,,,,,,,,,,,,,,,
1,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k49766t/manifest.json,,,ark:/12148/bpt6k49766t,Paris,Palais des Champs-Elysées,"Explication des ouvrages de peinture et dessins, sculpture, architecture et gravure des artistes vivans...",1877,,,,,,,,,,,,,,,,,
1,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k497675/manifest.json,,,ark:/12148/bpt6k497675,Paris,Palais des Champs-Elysées,"Explication des ouvrages de peinture et dessins, sculpture, architecture et gravure des artistes vivans...",1878,,,,,,,,,,,,,,,,,
1,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k49768h/manifest.json,,,ark:/12148/bpt6k49768h,Paris,Palais des Champs-Elysées,"Explication des ouvrages de peinture et dessins, sculpture, architecture et gravure des artistes vivans...",1879,,,,,,,,,,,,,,,,,
1,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k9822398p/manifest.json,,,ark:/12148/bpt6k9822398p,Paris,Palais des Champs-Elysées,"Explication des ouvrages de peinture et dessins, sculpture, architecture et gravure des artistes vivans...",1880,,,,,,,,,,,,,,,,,
1,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k9812023n/manifest.json,,,ark:/12148/bpt6k9812023n,Paris,Palais des Champs-Elysées,"Explication des ouvrages de peinture et dessins, sculpture, architecture et gravure des artistes vivans...",1881,,,,,,,,,,,,,,,,,
1,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k9811937g/manifest.json,,,ark:/12148/bpt6k9811937g,Paris,Palais des Champs-Elysées,"Explication des ouvrages de peinture et dessins, sculpture, architecture et gravure des artistes vivans...",1882,,,,,,,,,,,,,,,,,
1,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k49772r/manifest.json,,,ark:/12148/bpt6k49772r,Paris,Palais des Champs-Elysées,"Explication des ouvrages de peinture et dessins, sculpture, architecture et gravure des artistes vivans...",1883,,,,,,,,,,,,,,,,,
1,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k497733/manifest.json,,,ark:/12148/bpt6k497733,Paris,Palais des Champs-Elysées,"Explication des ouvrages de peinture et dessins, sculpture, architecture et gravure des artistes vivans...",1884,,,,,,,,,,,,,,,,,
1,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k1182694c/manifest.json,,,ark:/12148/bpt6k1182694c,Paris,Palais des Champs-Elysées,"Explication des ouvrages de peinture et dessins, sculpture, architecture et gravure des artistes vivans...",1885,,,,,,,,,,,,,,,,,
1,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k98227789/manifest.json,,,ark:/12148/bpt6k98227789,Paris,Palais des Champs-Elysées,"Explication des ouvrages de peinture et dessins, sculpture, architecture et gravure des artistes vivans...",1886,,,,,,,,,,,,,,,,,
1,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k49777g/manifest.json,,,ark:/12148/bpt6k49777g,Paris,Palais des Champs-Elysées,"Explication des ouvrages de peinture et dessins, sculpture, architecture et gravure des artistes vivans...",1887,,,,,,,,,,,,,,,,,
1,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k6557465p/manifest.json,,,ark:/12148/bpt6k6557465p,Paris,Palais des Champs-Elysées,"Explication des ouvrages de peinture et dessins, sculpture, architecture et gravure des artistes vivans...",1888,,,,,,,,,,,,,,,,,
1,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k3047110k/manifest.json,,,ark:/12148/bpt6k3047110k,Paris,Palais des Champs-Elysées,"Explication des ouvrages de peinture et dessins, sculpture, architecture et gravure des artistes vivans...",1889,,,,,,,,,,,,,,,,,
1,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k497795/manifest.json,,,ark:/12148/bpt6k497795,Paris,Palais des Champs-Elysées,"Explication des ouvrages de peinture et dessins, sculpture, architecture et gravure des artistes vivans...",1890,,,,,,,,,,,,,,,,,
1,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k49781q/manifest.json,,,ark:/12148/bpt6k49781q,Paris,Palais des Champs-Elysées,"Explication des ouvrages de peinture et dessins, sculpture, architecture et gravure des artistes vivans...",1891,,,,,,,,,,,,,,,,,
1,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k1182695s/manifest.json,,,ark:/12148/bpt6k1182695s,Paris,Palais des Champs-Elysées,"Explication des ouvrages de peinture et dessins, sculpture, architecture et gravure des artistes vivans...",1892,,,,,,,,,,,,,,,,,
1,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k11826966/manifest.json,,,ark:/12148/bpt6k11826966,Paris,Palais des Champs-Elysées,"Explication des ouvrages de peinture et dessins, sculpture, architecture et gravure des artistes vivans...",1893,,,,,,,,,,,,,,,,,
1,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k497822/manifest.json,,,ark:/12148/bpt6k497822,Paris,Palais des Champs-Elysées,"Explication des ouvrages de peinture et dessins, sculpture, architecture et gravure des artistes vivans...",1894,,,,,,,,,,,,,,,,,
1,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k49783d/manifest.json,,,ark:/12148/bpt6k49783d,Paris,Palais des Champs-Elysées,"Explication des ouvrages de peinture et dessins, sculpture, architecture et gravure des artistes vivans...",1895,,,,,,,,,,,,,,,,,
1,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k1182697m/manifest.json,,,ark:/12148/bpt6k1182697m,Paris,Palais des Champs-Elysées,"Explication des ouvrages de peinture et dessins, sculpture, architecture et gravure des artistes vivans...",1896,,,,,,,,,,,,,,,,,
1,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k49784r/manifest.json,,,ark:/12148/bpt6k49784r,Paris,Palais des Champs-Elysées,"Explication des ouvrages de peinture et dessins, sculpture, architecture et gravure des artistes vivans...",1897,,,,,,,,,,,,,,,,,
1,https://gallica.bnf.fr/iiif/rk:/12148/bpt6k497853/manifest.json,,,rk:/12148/bpt6k497853,Paris,Galerie des machines,"Explication des ouvrages de peinture et dessins, sculpture, architecture et gravure des artistes vivans…",1898,,,,,,,,,,,,,,,,,
1,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k49786f/manifest.json,,,ark:/12148/bpt6k49786f,Paris,Galerie des machines,"Explication des ouvrages de peinture et dessins, sculpture, architecture et gravure des artistes vivans...",1899,,,,,,,,,,,,,,,,,
1,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k49787s/manifest.json,,,ark:/12148/bpt6k49787s,Paris,Place de Breteuil,"Explication des ouvrages de peinture et dessins, sculpture, architecture et gravure des artistes vivans...",1900,,,,,,,,,,,,,,,,,
1,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k497884/manifest.json,,,ark:/12148/bpt6k497884,Paris,Grand Palais des Beaux-Arts,"Explication des ouvrages de peinture et dessins, sculpture, architecture et gravure des artistes vivans...",1901,,,,,,,,,,,,,,,,,
1,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k49789g/manifest.json,,,ark:/12148/bpt6k49789g,Paris,Grand Palais des Champs-Elysées,"Explication des ouvrages de peinture et dessins, sculpture, architecture et gravure des artistes vivans...",1902,,,,,,,,,,,,,,,,,
1,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k1183350g/manifest.json,,,ark:/12148/bpt6k1183350g,Paris,Grand Palais des Champs-Elysées,"Explication des ouvrages de peinture et dessins, sculpture, architecture et gravure des artistes vivans...",1903,,,,,,,,,,,,,,,,,
1,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k49790p/manifest.json,,,ark:/12148/bpt6k49790p,Paris,Grand Palais des Champs-Elysées,"Explication des ouvrages de peinture et dessins, sculpture, architecture et gravure des artistes vivans...",1904,,,,,,,,,,,,,,,,,
1,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k497911/manifest.json,,,ark:/12148/bpt6k497911,Paris,Grand Palais des Champs-Elysées,"Explication des ouvrages de peinture et dessins, sculpture, architecture et gravure des artistes vivans...",1905,,,,,,,,,,,,,,,,,
1,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k49792c/manifest.json,,,ark:/12148/bpt6k49792c,Paris,Grand Palais des Champs-Elysées,"Explication des ouvrages de peinture et dessins, sculpture, architecture et gravure des artistes vivans...",1906,,,,,,,,,,,,,,,,,
1,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k49793q/manifest.json,,,ark:/12148/bpt6k49793q,Paris,Grand Palais des Champs-Elysées,"Explication des ouvrages de peinture et dessins, sculpture, architecture et gravure des artistes vivans...",1907,,,,,,,,,,,,,,,,,
1,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k497942/manifest.json,,,ark:/12148/bpt6k497942,Paris,Grand Palais des Champs-Elysées,"Explication des ouvrages de peinture et dessins, sculpture, architecture et gravure des artistes vivans...",1908,,,,,,,,,,,,,,,,,
1,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k49795d/manifest.json,,,ark:/12148/bpt6k49795d,Paris,Grand Palais des Champs-Elysées,"Explication des ouvrages de peinture et dessins, sculpture, architecture et gravure des artistes vivans...",1909,,,,,,,,,,,,,,,,,
1,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k49796r/manifest.json,,,ark:/12148/bpt6k49796r,Paris,Grand Palais des Champs-Elysées,"Explication des ouvrages de peinture et dessins, sculpture, architecture et gravure des artistes vivans...",1910,,,,,,,,,,,,,,,,,
1,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k1183351w/manifest.json,,,ark:/12148/bpt6k1183351w,Paris,Grand Palais des Champs-Elysées,"Explication des ouvrages de peinture et dessins, sculpture, architecture et gravure des artistes vivans...",1911,,,,,,,,,,,,,,,,,
1,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k11833529/manifest.json,,,ark:/12148/bpt6k11833529,Paris,Grand Palais des Champs-Elysées,"Explication des ouvrages de peinture et dessins, sculpture, architecture et gravure des artistes vivans...",1912,,,,,,,,,,,,,,,,,
1,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k98117334/manifest.json,,,ark:/12148/bpt6k98117334,Paris,Grand Palais des Champs-Elysées,"Explication des ouvrages de peinture et dessins, sculpture, architecture et gravure des artistes vivans...",1913,,,,,,,,,,,,,,,,,
1,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k98143113/manifest.json,,,ark:/12148/bpt6k98143113,Paris,Grand Palais des Champs-Elysées,"Explication des ouvrages de peinture et dessins, sculpture, architecture et gravure des artistes vivans...",1914,,,,,,,,,,,,,,,,,
1,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k98116220/manifest.json,,,ark:/12148/bpt6k98116220,Paris,Grand Palais des Champs-Elysées,"Explication des ouvrages de peinture et dessins, sculpture, architecture et gravure des artistes vivans...",1920,,,,,,,,,,,,,,,,,
1,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k3047703h/manifest.json,,,ark:/12148/bpt6k3047703h,Paris,Grand Palais des Champs-Elysées,"Explication des ouvrages de peinture et dessins, sculpture, architecture et gravure des artistes vivans...",1928,,,,,,,,,,,,,,,,,
1,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k1183353q/manifest.json,,,ark:/12148/bpt6k1183353q,Paris,Grand Palais des Champs-Elysées,"Explication des ouvrages de peinture et dessins, sculpture, architecture et gravure des artistes vivans...",1929,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Musée du Luxembourg  (non illustré sauf 1892),,,,,,,,,,,,,,,,,,,
1,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k6491364x/manifest.json,,,ark:/12148/bpt6k6491364x,Paris ,Musée royal du Luxembourg,"Explication des ouvrages de peinture et sculpture, de l'école moderne de France, exposés le 24 avril 1818, dans le musée royal du Luxembourg, destiné aux artistes vivants",1818,avril,24,,,,,,,,,,,,,,,
1,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k64240177/manifest.json,,,ark:/12148/bpt6k64240177,Paris ,Musée impérial du Luxembourg,"Notice des peintures, sculptures, gravures et lithographies de l'école moderne de France, exposées dans les galeries du Musée impérial du Luxembourg",1853,,,,,,,,,,,,,,,,,
1,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k6569640f/manifest.json,,,ark:/12148/bpt6k6569640f,Paris ,Musée impérial du Luxembourg,"Notice des peintures, sculptures, gravures et lithographies de l'École moderne de France exposées dans les galeries du Musée national du Luxembourg",1854,,,,,,,,,,,,,,,,,
1,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k64240177/manifest.json,,,ark:/12148/bpt6k64240177,Paris ,Musée impérial du Luxembourg,"Notice des peintures, sculptures, gravures et lithographies de l'École moderne de France exposées dans les galeries du Musée national du Luxembourg",1853,,,,,,,,,,,,,,,,,
1,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k6226887s/manifest.json,,,ark:/12148/bpt6k6226887s,Paris ,Musée impérial du Luxembourg,"Notice des peintures, sculptures et dessins de l'école moderne de France exposés dans les galeries du Musée impérial du Luxembourg",1863,,,,,,,,,,,,,,,,,
1,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k6235174q/manifest.json,,,ark:/12148/bpt6k6235174q,Paris ,Musée impérial du Luxembourg,"Notice de peintures, sculptures et dessins de l'école moderne de France exposés dans les galeries du Musée impérial du Luxembourg",1864,,,,,,,,,,,,,,,,,
1,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k64243519/manifest.json,,,ark:/12148/bpt6k64243519,Paris ,Musée impérial du Luxembourg,"Notice de peintures, sculptures et dessins de l'école moderne de France exposées dans les galeries du Musée impérial du Luxembourg",1867,,,,,,,,,,,,,,,,,
1,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k6226940q/manifest.json,,,ark:/12148/bpt6k6226940q,Paris ,Musée national du Luxembourg,"Notice des peintures, sculptures et dessins de l'école moderne exposés dans les galeries du musée national du Luxembourg",1871,,,,,,,,,,,,,,,,,
1,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k64228411/manifest.json,,,ark:/12148/bpt6k64228411,Paris ,Musée national du Luxembourg,"Notice des peintures, sculptures et dessins de l'Ecole moderne exposés dans les galeries du Musée national du Luxembourg",1875,,,,,,,,,,,,,,,,,
1,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k6424284b/manifest.json,,,ark:/12148/bpt6k6424284b,Paris ,Musée national du Luxembourg,"Notice des peintures, sculptures et dessins de l'Ecole moderne exposés dans les galeries du Musée national du Luxembourg",1876,,,,,,,,,,,,,,,,,
1,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k6424090c/manifest.json,,,ark:/12148/bpt6k6424090c,Paris ,Musée national du Luxembourg,"Notice des peintures, sculptures et dessins de l'Ecole moderne exposés dans les galeries du Musée national du Luxembourg",1877,,,,,,,,,,,,,,,,,
1,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k6228734x/manifest.json,,,ark:/12148/bpt6k6228734x,Paris ,Musée national du Luxembourg,"Notice des peintures, sculptures et dessins de l'Ecole moderne exposés dans les galeries du Musée national du Luxembourg",1878,,,,,,,,,,,,,,,,,
1,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k883865t/manifest.json,,,ark:/12148/bpt6k883865t,Paris ,Musée national du Luxembourg,"Notice de peintures, sculptures et dessins de l'école moderne exposés dans les galeries du Musée national du Luxembourg",1879,,,,,,,,,,,,,,,,,
1,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k6422843v/manifest.json,,,ark:/12148/bpt6k6422843v,Paris ,Musée national du Luxembourg,"Notice des peintures, sculptures et dessins de l'Ecole moderne exposés dans les galeries du Musée national du Luxembourg",1880,,,,,,,,,,,,,,,,,
1,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k6424033b/manifest.json,,,ark:/12148/bpt6k6424033b,Paris ,Musée national du Luxembourg,"Notice des peintures, sculptures et dessins de l'Ecole moderne exposés dans les galeries du Musée national du Luxembourg",1881,,,,,,,,,,,,,,,,,
